City_ID,Name,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,shelburne,CA,2022-06-03 01:40:09,44.0787,-80.2041,54.39,65,1,8.59
150,los llanos de aridane,ES,2022-06-03 01:35:37,28.6585,-17.9182,64.15,88,0,4.61
151,sao filipe,CV,2022-06-03 01:44:34,14.8961,-24.4956,76.08,73,18,14.79
152,oranjemund,NA,2022-06-03 01:36:51,-28.55,16.4333,64.06,28,0,9.22
153,morondava,MG,2022-06-03 01:44:34,-20.2833,44.2833,69.26,62,0,12.82
154,manacor,ES,2022-06-03 01:44:34,39.5696,3.2096,73.51,72,100,6.46
155,pangnirtung,CA,2022-06-03 01:34:40,66.1451,-65.7125,35.55,86,86,4.18
156,bozoum,CF,2022-06-03 01:44:35,6.3193,16.3799,67.26,92,82,2.37
157,bengkulu,ID,2022-06-03 01:39:18,-3.8004,102.2655,79.84,74,100,1.88
158,atbasar,KZ,2022-06-03 01:44:35,51.8,68.3333,66.6,45,93,11.43
159,micheweni,TZ,2022-06-03 01:44:36,-4.9667,39.8333,76.01,80,77,19.8
160,saint-francois,FR,2022-06-03 01:36:42,46.4154,3.9054,62.04,88,100,2.3
161,lima,PE,2022-06-03 01:36:53,-12.0432,-77.0282,59.25,88,75,3.44
162,hobyo,SO,2022-06-03 01:36:08,5.3505,48.5268,77.68,84,100,22.39
163,upernavik,GL,2022-06-03 01:44:37,72.7868,-56.1549,31.44,74,100,7.2
164,lujan,AR,2022-06-03 01:44:37,-34.5703,-59.105,42.06,75,1,4.41
165,taunsa,PK,2022-06-03 01:36:34,30.7048,70.6505,94.24,7,0,4.29
166,dingle,PH,2022-06-03 01:39:48,10.9995,122.6711,86.25,64,9,4.12
167,porto novo,BJ,2022-06-03 01:36:12,6.4965,2.6036,77.36,90,43,2.55
168,sinnamary,GF,2022-06-03 01:35:18,5.3833,-52.95,76.8,89,100,10.25
169,vuktyl,RU,2022-06-03 01:44:39,63.8567,57.3094,42.6,46,1,7.85
170,iqaluit,CA,2022-06-03 01:44:39,63.7506,-68.5145,37.13,60,40,0.0
171,mahajanga,MG,2022-06-03 01:44:39,-15.7167,46.3167,68.02,68,20,5.75
172,sao joao da barra,BR,2022-06-03 01:44:40,-21.6403,-41.0511,71.49,95,32,9.48
173,eidsvoll,NO,2022-06-03 01:44:40,60.3305,11.2616,50.77,92,0,3.44
174,riyadh,SA,2022-06-03 01:37:51,24.6877,46.7219,82.54,19,0,3.51
175,havoysund,NO,2022-06-03 01:36:13,70.9963,24.6622,46.63,70,100,10.42
176,scarborough,GB,2022-06-03 01:32:54,54.2797,-0.4044,54.34,84,100,5.99
177,turayf,SA,2022-06-03 01:35:16,31.6725,38.6637,71.85,37,0,11.5
178,reconquista,AR,2022-06-03 01:44:41,-29.15,-59.65,44.33,80,0,7.34
179,ghosi,IN,2022-06-03 01:44:41,26.1083,83.5436,96.73,33,2,6.13
180,lafia,NG,2022-06-03 01:44:42,8.4833,8.5167,73.81,92,100,3.04
181,bestobe,KZ,2022-06-03 01:44:42,52.4994,73.0975,65.19,45,98,13.24
182,grindavik,IS,2022-06-03 01:44:42,63.8424,-22.4338,48.15,100,75,5.75
183,selfoss,IS,2022-06-03 01:44:43,63.9331,-20.9971,45.05,80,100,6.35
184,mahebourg,MU,2022-06-03 01:44:43,-20.4081,57.7,73.69,68,20,8.05
185,aleksandrovskoye,RU,2022-06-03 01:44:44,44.7142,43.0008,57.63,76,73,6.6
186,la union,PE,2022-06-03 01:44:44,-5.4,-80.75,67.64,66,53,13.09
187,diamantino,BR,2022-06-03 01:40:17,-14.4086,-56.4461,74.21,60,53,1.41
188,barentu,ER,2022-06-03 01:44:44,15.1139,37.5928,79.57,29,10,8.95
189,sorland,NO,2022-06-03 01:34:55,67.667,12.6934,48.06,86,2,12.62
190,tenkodogo,BF,2022-06-03 01:44:45,11.78,-0.3697,88.86,38,54,8.25
191,goderich,CA,2022-06-03 01:39:24,43.7501,-81.7165,55.9,82,0,4.61
192,neya,RU,2022-06-03 01:44:45,58.2972,43.8681,59.36,97,55,3.71
193,bayir,TR,2022-06-03 01:44:46,37.2687,28.2167,59.52,79,29,4.05
194,harlingen,US,2022-06-03 01:42:56,26.1906,-97.6961,82.36,81,0,11.5
195,peniche,PT,2022-06-03 01:36:50,39.3558,-9.3811,63.28,89,1,12.59
196,bubaque,GW,2022-06-03 01:44:46,11.2833,-15.8333,80.13,78,99,1.28
197,salvador,SV,2022-06-03 01:41:10,13.8333,-88.9167,73.8,92,100,2.26
198,odienne,CI,2022-06-03 01:44:47,9.51,-7.5692,71.83,88,6,4.45
199,werda,BW,2022-06-03 01:44:47,-25.2667,23.2833,50.47,42,0,7.05
200,imperia,IT,2022-06-03 01:44:47,43.9667,7.7833,68.41,64,99,7.09
201,awbari,LY,2022-06-03 01:44:48,26.5921,12.7805,82.33,14,0,7.36
202,diego de almagro,CL,2022-06-03 01:44:48,-26.3667,-70.05,51.69,31,0,0.94
203,zurrieq,MT,2022-06-03 01:44:48,35.8311,14.4742,73.96,49,0,5.75
204,aktash,RU,2022-06-03 01:44:49,50.3,87.7333,39.27,45,10,2.82
205,maldonado,UY,2022-06-03 01:41:55,-34.6667,-54.9167,47.23,77,37,3.38
206,balykshi,KZ,2022-06-03 01:44:49,47.0667,51.8667,66.2,39,0,8.95
207,bethanien,NA,2022-06-03 01:44:50,-26.502,17.1583,50.99,33,0,6.11
208,nurota,UZ,2022-06-03 01:44:50,40.5614,65.6886,69.19,42,0,5.37
209,cabedelo,BR,2022-06-03 01:35:55,-6.9811,-34.8339,75.87,83,100,3.53
210,marawi,PH,2022-06-03 01:40:39,7.9986,124.2928,80.49,64,69,3.13
211,korla,CN,2022-06-03 01:35:11,41.7597,86.1469,73.02,26,2,16.06
